pc_time,t,xr,x,v,age,stop,dstop,amodel,abrk,btarget,tslew,venv,vref,ev,beam,fb,us,ua,acc,rate,u,bias,fps,e,ddl,dsl,dss,vas,dbud,dmin,vc,vb,st,ok,cnt,tgt,sat,brk,stuck,set,mv,vv,px,edge,deg,hold,q,guard,gap,inv,crc,drop,esrc
1785441131.257,77672,17.7,20.88,86.0,37.0,73.63,47.95,58.1,293.2,-4.0,372.9,30.74,-30.74,116.74,0.475,-3.969,-3.969,0.0,383.5,100.0,-3.969,0.0,34.0,20.88,1.73,32.92,13.3,88.31,18.98,0.0,30.74,47.98,1,1,196,59,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,0
1785441131.315,77732,23.1,26.74,91.0,40.0,73.79,42.78,-56.4,293.2,-4.0,294.9,37.51,-37.51,128.51,-0.461,-3.982,-3.982,0.0,291.5,100.0,-3.982,0.0,34.0,26.74,1.82,26.84,14.12,91.0,24.31,0.83,37.51,48.68,1,1,165,59,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,0
1785441131.388,77792,30.4,35.21,112.0,43.0,91.73,51.39,-125.5,293.2,-4.0,247.8,45.48,-45.48,157.48,-1.027,-3.996,-3.996,0.0,318.2,100.0,-3.996,0.0,34.0,35.21,2.24,27.75,21.39,112.0,32.01,3.28,45.48,51.85,1,1,147,58,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,0
1785441131.450,77853,36.8,42.27,114.0,48.0,94.17,47.19,-196.3,293.2,-4.0,199.5,48.56,-48.56,162.56,-1.606,-3.997,-3.997,0.0,229.1,100.0,-3.997,0.0,34.0,42.27,2.28,22.74,22.16,114.0,38.42,7.92,50.57,48.56,1,1,129,58,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441131.510,77917,41.4,47.1,100.0,57.0,85.18,34.62,-260.5,293.2,-4.0,155.7,40.57,-40.57,140.57,-2.132,-3.99,-3.99,0.0,90.8,100.0,-3.99,0.0,34.0,47.1,2.0,15.57,17.05,100.0,42.81,14.54,53.35,40.57,1,1,113,58,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,1
1785441131.580,77978,45.5,50.6,85.0,60.0,77.73,24.66,-305.3,293.2,-4.0,125.2,33.67,-33.67,118.67,-2.498,-3.972,-3.972,0.0,-14.3,100.0,-3.972,0.0,34.0,50.6,1.7,10.64,12.32,85.0,46.0,20.81,55.06,33.67,1,1,102,59,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441131.640,78038,52.7,55.57,82.0,35.0,78.99,21.3,-342.4,293.2,-4.0,99.8,29.22,-29.22,111.22,-2.802,-3.96,-3.96,0.0,-32.6,100.0,-3.96,0.0,34.0,55.57,1.64,8.19,11.47,82.0,50.51,27.24,57.08,29.22,1,1,93,59,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441131.708,78098,55.5,57.9,65.0,37.0,73.18,13.89,-367.3,293.2,-4.0,82.9,24.65,-24.65,89.65,-3.006,-3.89,-3.89,0.0,-114.1,100.0,-3.89,0.0,35.0,57.9,1.3,5.39,7.21,65.0,52.64,32.23,57.9,24.65,1,1,87,61,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441131.770,78158,58.5,60.82,58.0,40.0,72.61,10.72,-392.1,293.2,-4.0,65.9,20.28,-20.28,78.28,-3.209,-3.812,-3.812,0.0,-118.8,100.0,-3.812,0.0,35.0,60.82,1.16,3.82,5.74,58.0,55.29,37.82,58.8,20.28,1,1,81,64,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,1
1785441131.830,78221,59.0,60.64,35.0,47.0,65.81,4.69,-408.9,293.2,-4.0,54.4,14.96,-14.96,49.96,-3.347,-3.322,-3.322,0.0,-205.2,100.0,-3.322,0.0,35.0,60.64,0.7,1.91,2.09,35.0,55.13,41.96,58.75,14.96,1,1,77,78,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,1
1785441131.919,78281,59.1,60.12,20.0,51.0,62.51,2.17,-408.9,293.2,-4.0,54.4,14.43,-14.43,34.43,-3.347,-2.7,-2.7,0.0,-220.1,100.0,-2.7,0.0,35.0,60.12,0.4,1.09,0.68,20.0,54.65,41.96,58.59,14.43,1,1,77,96,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,1
1785441131.919,78341,55.9,55.2,-13.0,54.0,3.78,-46.74,-383.9,293.2,4.0,595.1,16.98,-16.98,3.98,-3.141,-0.378,-0.378,0.0,-317.0,30.7,-0.378,0.0,35.0,55.2,-0.34,-37.83,-8.58,70.93,50.18,35.89,56.95,16.98,1,1,83,168,0,0,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441131.978,78401,52.7,50.71,-35.0,57.0,-1.08,-47.07,-305.3,293.2,4.0,541.5,33.79,-33.79,-1.21,-2.498,0.115,0.115,0.0,-322.8,100.0,0.115,0.0,35.0,50.71,-0.76,-37.26,-9.06,72.88,46.1,20.81,55.1,33.79,1,1,102,184,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441132.052,78461,50.0,47.57,-42.0,58.0,3.13,-40.4,-240.2,293.2,4.0,497.1,45.79,-45.79,3.79,-1.965,-0.36,-0.36,0.0,-255.0,32.1,-0.36,0.0,35.0,47.57,-0.89,-31.97,-7.54,66.48,43.24,12.16,53.6,45.79,1,1,118,168,0,0,0,0,1,1,1,0,0,0,1,1,0,213,0,0,1
1785441132.111,78524,42.9,40.53,-66.0,36.0,-11.88,-47.65,-172.5,293.2,4.0,450.9,49.44,-49.44,-16.56,-1.411,1.5,1.5,0.0,-288.9,100.0,1.5,0.0,35.0,40.53,-1.35,-35.49,-10.8,79.59,36.84,6.08,49.44,50.92,1,1,135,232,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,0
1785441132.170,78584,36.5,33.4,-84.0,37.0,-21.65,-50.05,-90.7,293.2,4.0,395.1,43.95,-43.95,-40.05,-0.742,2.965,2.965,0.0,-290.5,100.0,2.965,0.0,35.0,33.4,-1.7,-34.96,-13.39,88.61,30.36,1.82,43.95,54.49,1,1,156,290,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,0
1785441132.240,78644,30.5,26.8,-95.0,39.0,-26.28,-48.25,10.9,293.2,4.0,325.9,37.58,-37.58,-57.42,0.089,3.512,3.512,0.0,-262.2,100.0,3.512,0.0,35.0,26.8,-1.9,-30.96,-15.39,95.0,24.36,0.0,37.58,55.34,1,1,183,315,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,0
1785441132.299,78704,23.2,18.58,-110.0,42.0,-38.28,-51.7,104.1,293.2,4.0,262.4,27.82,-27.82,-82.18,0.852,3.843,3.843,0.0,-261.8,100.0,3.843,0.0,35.0,18.58,-2.2,-28.86,-20.64,110.0,16.9,0.0,27.82,46.68,1,1,209,332,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,0
1785441132.364,78764,17.5,12.82,-104.0,45.0,-33.38,-42.01,186.0,293.2,4.0,206.5,19.86,-19.86,-84.14,1.522,3.857,3.857,0.0,-148.5,100.0,3.857,0.0,35.0,12.82,-2.08,-21.48,-18.45,104.0,11.66,0.0,19.86,39.64,1,1,233,333,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,0
1785441132.430,78827,11.5,6.2,-106.0,50.0,-35.89,-38.27,253.9,293.2,4.0,160.2,9.85,-9.85,-96.15,2.077,3.919,3.919,0.0,-113.8,100.0,3.919,0.0,35.0,6.2,-2.12,-16.98,-19.16,106.0,5.64,0.0,9.85,25.26,1,1,254,336,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,0
1785441132.490,78887,6.6,1.72,-94.0,52.0,-29.4,-28.28,312.0,293.2,4.0,120.6,2.74,-2.74,-91.26,2.553,3.898,3.898,0.0,-20.1,100.0,3.898,0.0,35.0,1.72,-1.88,-11.33,-15.07,94.0,1.56,0.0,2.74,9.91,1,1,273,335,0,1,0,0,1,1,1,0,0,0,1,1,0,213,0,0,0
1785441132.577,78947,3.0,-1.13,-78.0,53.0,-22.55,-19.48,347.1,293.2,4.0,96.7,0.0,0.0,-78.0,2.84,3.81,3.81,0.0,61.3,100.0,3.81,0.0,35.0,-1.13,-1.56,-7.54,-10.38,78.0,1.03,28.14,1.81,0.0,1,1,285,330,0,1,0,0,1,1,1,0,0,0,2,1,0,213,0,0,1
1785441132.577,79007,-0.1,-3.63,-63.0,56.0,-17.96,-13.03,372.4,293.2,4.0,79.4,0.0,0.0,-63.0,3.047,3.621,3.621,0.0,117.5,100.0,3.621,0.0,35.0,-3.63,-1.26,-5.0,-6.77,63.0,3.3,33.33,5.78,0.0,1,1,294,320,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,1
1785441132.637,79067,-0.9,-2.41,-29.0,52.0,-6.91,-4.09,383.6,293.2,4.0,71.7,0.0,0.0,-29.0,3.139,2.393,2.393,0.0,259.9,100.0,2.393,0.0,35.0,-2.41,-0.58,-2.08,-1.43,29.0,2.19,35.83,3.85,0.0,1,1,298,266,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,1
1785441132.709,79128,0.3,0.3,2.0,53.0,36.05,32.5,361.1,293.2,-4.0,579.6,0.48,-0.48,2.48,2.955,-0.236,-0.236,0.0,327.8,50.0,-0.236,0.0,35.0,0.3,0.11,27.47,4.92,53.7,0.27,0.0,0.48,2.45,1,1,290,172,0,0,0,0,0,1,0,0,0,0,3,1,0,213,0,0,0
1785441132.769,79188,3.8,6.12,40.0,58.0,54.59,44.06,269.8,293.2,-4.0,517.3,9.72,-9.72,49.72,2.208,-3.314,-3.314,0.0,413.9,100.0,-3.314,0.0,35.0,6.12,0.85,34.8,8.41,70.22,5.56,0.0,9.72,26.02,1,1,259,78,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,0
1785441132.839,79248,8.5,12.46,66.0,60.0,60.35,43.54,142.5,293.2,-4.0,430.5,19.33,-19.33,85.33,1.166,-3.865,-3.865,0.0,411.9,100.0,-3.865,0.0,35.0,12.46,1.35,32.4,9.79,75.78,11.32,0.0,19.33,35.72,1,1,220,62,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,0
1785441132.899,79308,14.7,20.15,88.0,62.0,71.78,46.94,32.7,293.2,-4.0,355.6,29.84,-29.84,117.84,0.267,-3.971,-3.971,0.0,386.2,100.0,-3.971,0.0,35.0,20.15,1.77,31.65,13.51,89.02,18.32,0.0,29.84,44.94,1,1,189,59,0,1,0,0,1,1,1,0,1,0,2,1,0,213,0,0,0
1785441132.962,79368,23.6,26.8,97.0,33.0,77.78,46.34,-60.1,293.2,-4.0,292.3,37.58,-37.58,134.58,-0.492,-3.987,-3.987,0.0,308.2,100.0,-3.987,0.0,35.0,26.8,1.94,28.36,16.05,97.0,24.36,0.92,37.58,48.33,1,1,164,58,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,0
1785441133.032,79431,31.1,35.62,116.0,39.0,94.36,53.4,-133.2,293.2,-4.0,242.5,45.81,-45.81,161.81,-1.09,-3.996,-3.996,0.0,317.9,100.0,-3.996,0.0,35.0,35.62,2.32,28.13,22.95,116.0,32.38,3.67,45.81,51.17,1,1,145,58,0,1,0,0,1,1,1,0,0,0,3,1,0,213,0,0,0
1785441133.093,79491,34.6,42.48,116.0,68.0,95.39,48.1,-200.3,293.2,-4.0,196.8,48.03,-48.03,164.03,-1.639,-3.997,-3.997,0.0,218.4,100.0,-3.997,0.0,35.0,42.48,2.32,22.83,22.95,116.0,38.62,8.26,50.71,48.03,1,1,128,58,0,1,0,0,1,1,1,0,1,0,1,1,0,213,0,0,1
1785441133.153,79552,34.6,49.56,116.0,129.0,97.22,43.33,-260.5,293.2,-4.0,155.7,43.48,-43.48,159.48,-2.132,-3.996,-3.996,0.0,150.0,100.0,-3.996,0.0,35.0,49.56,2.32,18.06,22.95,116.0,45.05,14.54,54.58,43.48,1,1,113,58,0,1,0,0,1,1,1,0,1,1,1,1,0,214,0,0,1
1785441133.243,79613,50.2,53.63,101.0,34.0,88.59,31.78,-309.3,293.2,-4.0,122.4,36.01,-36.01,137.01,-2.531,-3.988,-3.988,0.0,32.5,100.0,-3.988,0.0,35.0,53.63,2.02,12.36,17.4,101.0,48.75,21.46,56.34,36.01,1,1,101,58,0,1,0,0,1,1,1,0,0,0,1,1,0,214,0,0,1
1785441133.243,79673,53.3,55.89,74.0,35.0,75.92,18.21,-342.4,293.2,-4.0,99.8,29.57,-29.57,103.57,-2.802,-3.943,-3.943,0.0,-128.9,100.0,-3.943,0.0,35.0,55.89,1.48,7.39,9.34,74.0,50.81,27.24,57.2,29.57,1,1,93,60,0,1,0,0,1,1,1,0,0,0,2,1,0,214,0,0,1
1785441133.303,79736,56.6,59.26,65.0,41.0,74.54,13.89,-367.3,293.2,-4.0,82.9,26.07,-26.07,91.07,-3.006,-3.897,-3.897,0.0,-132.4,100.0,-3.897,0.0,35.0,59.26,1.3,5.39,7.21,65.0,53.87,32.23,58.33,26.07,1,1,87,61,0,1,0,0,1,1,1,0,0,0,1,1,0,214,0,0,1
1785441133.374,79796,59.3,61.92,57.0,46.0,73.4,10.44,-392.1,293.2,-4.0,65.9,21.4,-21.4,78.4,-3.209,-3.813,-3.813,0.0,-132.8,100.0,-3.813,0.0,35.0,61.92,1.14,3.76,5.54,57.0,56.29,37.82,59.11,21.4,1,1,81,63,0,1,0,0,1,1,1,0,0,0,1,1,0,214,0,0,1
